Number,Date,Hare,Start,Notes,Kennel
0,2002-12-07,,,Mossy Patch's Party,
88,2002-12-08,Cupcake & McTaco,Berkeley,AGM,EBH3
89,2002-12-12,Cuming Mutha,Presidio,,Gypsies
0,2002-12-14,,,Snowball,SFH3
90,2002-12-15,D-Cup & Xena,Crockett,,OTRH3
91,2002-12-19,Scarlett & Rhett,Pacifica,,Gypsies
92,2002-12-20,Scarlett & Rhett & Phone Sex,Polk Street,,FMH3
93,2002-12-22,Thumper & Cuming Mutha,Oakland Zoo,,EBH3
94,2002-12-26,Enter The Gerbil,Glen Park,,Gypsies
0,2002-12-27,,,Special Pub Crawl,
95,2002-12-30,Oral Roberts,Brisbane,,SFH3
96,2003-01-02,Thumper & Latex Dreams,Bernal Heights,,Gypsies
97,2003-01-05,McTaco & Whisker Biscuit,Mt. Diablo,,EBH3
98,2003-01-06,Handjob for Humanity,Aquatic Park,,SFH3
99,2003-01-11,Thurston & Menage,Pleasanton Ridge,,SVH3
100,2003-01-16,Chickless Boner,Castro/Mission,,Gypsies
101,2003-01-17,Fuck Me Father,Downtown Berkeley,,FMH3
102,2003-01-18,Twinkle Tits,Healdsburg,Wine Crawl,Winers H3
103,2003-01-23,Mr. BoneJangles,Western Addition,,Gypsies
104,2003-01-25,Mossy Patch,Redwood City,,SVH3
0,2003-01-26,,,SVH3-SFH3 Football Game,
105,2003-01-27,Toolbox & Around The Block,Golden Gate Park/Haight,,SFH3
106,2003-01-30,Splat,Daly City,,Gypsies
0,2003-02-01,,,Sex Toy Party,
107,2003-02-02,Excess & Little Johnson,Walnut Creek,,EBH3
108,2003-02-03,Muff Daddy,Glen Park,,SFH3
109,2003-02-06,Genghis Cock,Telegraph Hill,,Gypsies
110,2003-02-10,Escrowtum & Wet Nurse,Haight/Castro,,SFH3
111,2003-02-13,Rongjon,Sunset,,Gypsies
112,2003-02-14,Enter the Gerbil,North Beach,,FMH3
0,2003-02-15,,,Ram Pam's Housewarming,
113,2003-02-16,Peniscillin & Y.B.F.,Lake Chabot,,EBH3
114,2003-02-22,,,Newd & Used Weekend,Phoenix H3
115,2003-02-27,Gonad,Presidio,,Gypsies
116,2003-03-02,Splat & Thurston,Tilden Park,Hared,EBH3
117,2003-03-03,Butt Floss & Latex Dreams,Lake Merritt,,Global Harriettes
118,2003-03-08,Ram Pam & Wet Hairs,Huddert Park,Mud Run,SVH3
119,2003-03-13,Cock Exchange,Downtown,,Gypsies
120,2003-03-14,,Palm Springs,Betty Ford Lingere Run,OCH3
